"","siglist","F_s","F_d","F_i","df_res","p_s_adj","p_d_adj","p_i_adj"
"1","numFilledPauses",2.06914591129909,69.1523652090423,4.36062282543237,8079,0.169756345604601,2.65096248876581e-16,0.0613501535599401
"2","numCuePhrases",2.04465067668988,86.1564053538852,6.74025825954879,8079,0.169756345604601,1.04974189499818e-19,0.0205647426862216
"3","numHedgePhrases",4.84748058301296,67.66104625606,3.68196382533854,8079,0.0395924392378544,4.4892684426787e-16,0.0786274626147703
"4","complexity",12.7493368445191,0.129734467171528,0.0193226148444097,8079,0.000716409967293402,0.71871692699693,0.889449023648201
"5","numLaugh",35.3977400255016,0.366691326425507,0.0403376556151672,8079,1.39999159667076e-08,0.657701330081661,0.889449023648201
"6","DAL.wc",87.8381759539147,0.28736132386856,0.0212186467179827,8079,9.05210348478696e-20,0.657701330081661,0.889449023648201
"7","DAL.pleasant",10.1079319774208,58.1148145568094,18.5074723882328,8079,0.002469829634756,4.58895555384732e-14,0.000171232202166484
"8","DAL.activate",13.8978136198326,76.1852956153931,11.6450838271657,8079,0.000485854670255127,1.03388813983552e-17,0.00215627602234223
"9","DAL.imagenary",0.433507943392482,44.9095709499794,12.6074006068919,8079,0.510291416858052,3.14555135317224e-11,0.00193204463262506
"10","specScores",18.2728095325165,162.864880868021,6.58840240701045,8079,6.45398356993319e-05,6.07869743969307e-36,0.0205647426862216
